"","Price.Earnings","Earnings.Share","Market.Cap","Dividend.Yield","Price.Sales","Price.Book"
"270",51.564816,3.24,154171867136,0.0042,5.542496,6.1563125
"271",31.070705,23.76,98746982400,0.0092,9.627435,29.462427
"272",17.21457,7.55,43124047872,0.037100002,2.1454751,33.73216
"273",23.48718,1.17,61050662912,0.0374,4.029481,2.0078912
"275",26.560669,2.39,275914555392,0.030299999,5.950795,10.316918
"276",16.306879,3.78,44603072512,0.0214,0.29695392,4.9959474
"277",38.70909,0.55,40818466816,0.0378,2.6404338,3.8325834
"278",11.363031,7.52,18506504192,0.0029,1.0745851,1.0778118
"279",16.158134,8.79,18951489536,0.0113,1.1643109,4.104439
"280",9.171209,14.31,34666786816,0.0137,0.95074534,1.2986089
"281",47.310604,5.28,20893095936,0.0114,1.6434692,2.5590854
"282",26.939009,7.87,40211513344,0.0219,1.901973,2.1152773
"283",33.873955,13.17,212423606272,0.0125,6.432206,5.422699
"284",13.797048,2.71,9719904256,0.031400003,0.67038447,1.5665982
"285",87.212906,9.3,729417187328,0.0073,17.850178,51.253082
"286",20.769403,22.29,108971950080,0.026199998,1.5284655,15.174709
"287",22.910507,2.57,15108549632,0.0342,3.809518,2.168293
"289",24.63526,3.29,104146010112,0.012200001,6.6797514,12.374046
"291",40.407894,0.76,18417924096,0.0227,0.6727763,1.7691112
"292",23.382654,1.96,33227941888,0.0184,2.9361086,9.697419
"293",23.598425,2.54,8549900800,0.0184,1.324252,4.816779
"294",11.487101,6.59,24584103936,0.0704,0.6035279,1.7923098
"296",40.810432,13.61,517369167872,0.0055,19.002762,68.68183
"297",34.44244,4.43,18302885888,0.0399,8.38263,2.997937
"301",37.708332,1.44,29159641088,0.033,5.3050323,4.646188
"303",45.69442,10.93,90514014208,0.0068,13.125582,23.179096
"304",20.563831,2.82,77543653376,0.0322,2.1449933,2.7839656
"305",27.7737,3.27,116457578496,0.032,3.5748405,2.3717747
"306",17.547668,4.93,59901251584,0.0251,0.83961165,1.9429533
"307",28.823923,23.91,1740620562432,0.003,11.141612,10.5725155
"310",26.448631,2.92,20692699136,0.024600001,3.0984054,3.8227
"311",29.895664,7.38,8318722048,0.0136,10.245476,6.0040274
"312",16.882408,32.23,33255579648,0.0058,5.105874,3.6269588
"313",26.5459,8.17,106514538496,0.0149,4.4482994,7.7801695
"314",21.286713,7.15,83294183424,0.0199,2.5520616,17.855467
"318",24.681416,1.13,8859118592,0.0308,0.7732899,0.7507605
"319",11.29535,12.9,46829592576,0.024300002,0.32823712,2.5012445
"320",72.0192,8.85,31090909184,0.007900001,15.244774,13.2204275
"321",20.67364,4.78,249979011072,0.0327,3.956992,5.6224394
"324",17.412579,7.95,222457004032,0.028299998,3.8169074,2.376644
"326",33.44561,12.41,3085547601920,0.0075,12.138745,11.492731
"327",51.45285,9.12,78421524480,0.0092,7.3600683,59.0623
"328",13.745902,14.64,33389940736,0.0269,3.9286907,1.2625636
"331",26.523254,3.44,103061061632,0.0044,4.10422,2.2420444
"333",42.66321,1.93,47325573120,0.0117999995,6.7444167,4.274294
"334",27.12069,8.12,12571875328,0.0125,4.71784,4.412607
"335",21.23442,3.37,147155976192,0.0298,5.6067963,2.9401371
"338",22.743902,1.64,17410856960,0.0297,3.291713,2.086013
"339",24.18239,3.18,115859849216,0.0208,2.316641,8.0095825
"340",17.199787,28.33,70630760448,0.0171,1.7233319,4.8176346
"342",25.356436,4.04,20750862336,0.0168,0.7379921,11.226301
"343",22.065687,11.57,57779748864,0.0214,4.7469397,4.1899853
"344",22.527676,5.42,24823662592,0.0164,3.8926866,21.948587
"345",11.493346,9.77,22005471232,0.0274,2.8005333,1.8760651
"346",15.198816,8.45,30157031424,0.018,0.96154976,1.4730237
"347",49.209015,2.44,3052683657216,0.00029999999,31.697422,68.84748
"349",51.048386,0.62,16625808384,0.0063,1.6359154,2.1830597
"350",45.35484,0.62,16623195136,0.0070999996,1.6356583,1.9395779
"351",19.937859,10.46,53004234752,0.019199999,4.100908,5.631768
"352",52.038097,1.05,47821529088,0.0583,9.536263,1.2434572
"353",32.449303,5.72,39627362304,0.0056,6.6886916,9.502868
"354",20.586864,4.72,56645545984,0.041300002,2.8417974,3.3613532
"355",11.856557,7.32,17052585984,0.0324,1.1053154,4.285291
"357",41.57946,4.09,475651014656,0.0083,8.838633,53.833492
"360",12.780822,3.65,43773702144,0.018,1.6130635,1.6586077
"363",24.977135,8.31,11968324608,0.0073,6.561862,7.711112
"364",31.08842,4.75,53170503680,0.028900001,10.011769,13.990525
"365",14.035442,7.9,58145472512,0.012,1.6692687,3.1146069
"366",12.2265625,1.28,34328428544,0.0064,1.3825941,1.2466146
"367",20.525799,4.07,41621716992,0.0286,3.9905767,2.5848572
"368",22.424109,6.72,208405790720,0.0357,2.267252,10.635941
"369",35.36,0.75,150288580608,0.0639,2.531176,1.6281925
"371",26.431528,6.28,389221646336,0.0249,4.6388373,7.9057918
"372",17.11389,14.4,144367271936,0.0199,2.0062325,5.315446
"373",29.204874,24.21,91011473408,0.0098,4.553738,7.5323052
"374",7.740136,14.7,23334230016,0.0078,1.3473346,2.020672
"375",23.81411,8.93,19097909248,0.021,2.3361073,4.4477444
"376",36.02719,3.31,110446362624,0.0327,13.40497,2.0835154
"379",14.625182,13.74,79563538432,0.0319,3.8841798,1.6132269
"380",25.92,4,17131151360,0.0097,4.1839423,4.8963404
"381",16.345863,5.32,9887351808,0.041100003,1.969168,1.4934652
"383",29.574741,11.64,13100605440,0.0138,2.4595037,9.151934
"384",18.285261,6.31,26768158720,0.0222,1.4846455,3.4370997
"385",30.27027,1.11,24795791360,0.0308,2.9939377,1.7590702
"386",10.75334,11.23,42982227968,0.0427,0.58907205,1.4131414
"387",30.994808,9.63,52288626688,0.0403,11.128495,9.936417
"388",15.05364,7.83,48679014400,0.0381,0.32949555,1.6948252
"390",56.85952,5.41,45406924800,0.0013,1.9825476,6.4215183
"392",19.235817,8.99,191155077120,0.0198,4.906193,7.3256793
"394",24.258417,10.99,71688740864,0.0093,4.465197,10.174796
"395",33.88679,2.12,13118127104,0.0392,8.805218,1.987825
"397",12.766839,1.93,22394408960,0.040799998,3.4158645,1.3228109
